WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1665,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1666,1,0,Faulty
2,1,0,2,2,1,0,2,2,2,2,0,0,0,1,0,0,0,834,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1669,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1670,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1671,1,0,NotFaulty
7,1,0,2,7,21,0,2,7,2,7,0,0,0,0.4643,0,0,0,239,1,0,NotFaulty
22,1,0,3,22,231,0,3,22,2,22,0,0,0,0.2143,0,0,0,77,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1701,1,0,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,1,0,0,0,568,1,0,NotFaulty
7,1,0,1,7,21,0,1,7,2,7,0,0,0,0.5238,0,0,0,244,1,0,NotFaulty
1,1,0,3,1,0,0,3,1,2,1,0,0,0,1,0,0,0,1712,1,0,NotFaulty
3,1,0,2,3,3,0,2,3,2,3,0,0,0,1,0,0,0,571,1,0,NotFaulty
15,1,0,1,15,105,0,1,15,2,15,0,0,0,0.5111,0,0,0,115,1,0,NotFaulty
2,1,0,3,7,0,0,3,1,0.5,28,0,0,0,0.8333,0,0,12,866,2,0,NotFaulty
2,1,0,8,10,0,0,8,1,0,56,0,0,0,0.625,0,0,26,868,2,0,NotFaulty
2,1,0,15,32,0,0,15,1,0,175,0,0,0,0.7,0,0,84.5,872,8,0,NotFaulty
2,1,0,5,8,0,0,5,1,0,41,0,0,0,0.75,0,0,18,874,3,0,NotFaulty
2,1,0,3,7,0,0,3,1,0.5,28,0,0,0,0.8333,0,0,12,876,2,0,NotFaulty
2,1,0,3,7,0,0,3,1,0,26,0,0,0,0.6667,0,0,11.5,877,2,0,NotFaulty
2,1,0,5,6,0,0,5,1,0.5,23,0,0,0,0.8333,0,0,9.5,878,1,0,NotFaulty
2,1,0,3,7,0,0,3,1,0,26,0,0,0,0.6667,0,0,11.5,880,2,0,NotFaulty
2,1,0,5,6,0,0,5,1,0.5,23,0,0,0,0.8333,0,0,9.5,881,1,0,NotFaulty
2,1,0,4,8,0,0,4,1,0,31,0,0,0,0.6667,0,0,14,882,2,0,NotFaulty
2,1,0,5,6,0,0,5,1,0.5,23,0,0,0,0.8333,0,0,9.5,883,1,0,NotFaulty
4,1,0,8,7,0,0,8,4,0.1667,35,1,0,0,0.5833,0,0,7.25,442,1,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1772,1,0,NotFaulty
36,1,0,7,72,104,0,7,35,0.849,364,1,0,0,0.1439,0,0,8.9167,50,8,0.0034,NotFaulty
5,1,0,11,15,6,0,11,5,0.4167,92,1,0,0,0.5,0,0,16.8,365,4,0.0002,Faulty
2,1,0,3,6,0,0,3,1,0.5,25,0,0,0,0.8333,0,0,10.5,916,2,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1833,1,0,NotFaulty
9,1,0,13,56,22,0,13,1,0.7857,443,0.5714,0,0,0.3125,0,0,47.4444,207,10,0,NotFaulty
2,1,0,8,9,0,0,8,1,0,52,1,0,0,0.6667,0,0,24,937,2,0,NotFaulty
2,1,0,2,5,0,0,2,1,0,21,0,0,0,0.75,0,0,9,938,1,0,NotFaulty
6,1,0,1,6,15,0,1,6,2,6,0,0,0,0.75,0,0,0,313,1,0,NotFaulty
5,1,0,11,13,6,0,11,5,0.375,71,1,0,0,0.5,0,0,12.8,377,3,0.0002,Faulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,1890,1,0,NotFaulty
2,1,0,6,13,0,0,6,1,0,101,0.6667,0,0,0.625,0,0,48,948,5,0,NotFaulty
21,1,0,19,114,138,0,19,1,0.8233,1229,0.8667,0,0,0.2929,0,0,56.8095,95,14,0.0107,NotFaulty
2,1,0,3,24,1,0,3,0,2,256,0,0,0,1,0,0,127,1010,20,0,NotFaulty
2,1,0,2,12,0,0,2,1,0.6667,74,0,0,0,1,0,0,34.5,1013,5,0,NotFaulty
4,1,0,4,41,4,0,4,1,1.0833,372,0.5,0,0,0.3333,0,0,91,520,39,0,NotFaulty
6,1,0,11,14,11,0,11,6,0.4667,93,0.6667,0,0,0.5,0,0,14,348,4,0,Faulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,2090,1,0,Faulty
4,1,0,13,25,0,0,13,1,0.2222,164,0.6667,0,0,0.4,0,0,39.25,524,3,0,Faulty
2,1,0,3,3,0,0,3,1,0,14,0,0,0,0.6667,0,0,5.5,1050,1,0,NotFaulty
2,1,0,2,5,0,0,2,1,0,21,0,0,0,0.75,0,0,9,1051,1,0,NotFaulty
10,1,0,3,10,45,0,3,10,2,10,0,0,0,0.375,0,0,0,211,1,0,NotFaulty
2,1,0,7,17,0,0,7,1,0,142,0.75,0,0,0.6,0,0,68,1061,10,0,NotFaulty
20,1,0,23,115,114,0,23,1,0.8333,1252,0.8333,0,0,0.2932,0,0,60.7,111,12,0.0088,NotFaulty
3,1,0,2,13,1,0,2,0,0.75,36,0.5,0,0,0.5,0,0,10.3333,743,1,0,NotFaulty
4,1,0,0,10,0,0,0,0,0.8333,144,1,0,0,0.5,0,0,34.5,561,7,0.0005,NotFaulty
7,1,0,1,8,21,0,1,6,2,21,0,0,0,0.3571,0,0,2,321,1,0,NotFaulty
7,1,0,3,11,5,0,3,6,0.7222,57,0.6667,0,0,0.2857,0,0,6.7143,323,2,0,NotFaulty
7,1,0,4,15,0,0,4,6,0.625,97,0.25,0,0,0.2653,0,0,12.2857,324,3,0,NotFaulty
1,1,0,1,3,0,0,1,0,2,14,0,0,0,1,0,0,10,2272,1,0,NotFaulty
1,3,0,2,2,0,0,2,0,2,13,0,1,1,1,0,0,10,2273,1,0,NotFaulty
6,1,0,0,6,15,0,0,6,2,6,0,0,0,0.375,0,0,0,379,1,0,NotFaulty
7,1,0,2,13,0,0,2,6,0.6111,61,0,0,0,0.2857,0,0,7.2857,326,2,0,NotFaulty
8,1,0,9,35,14,0,9,0,0.8571,277,0.6667,0,0,0.2857,0,0,32.875,288,6,0.0005,NotFaulty
4,1,0,9,8,2,0,9,4,0.5,46,0.5,0,0,0.5833,0,0,10,578,2,0,Faulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,2314,1,0,NotFaulty
4,1,0,9,8,2,0,9,4,0.5,46,0.5,0,0,0.5833,0,0,10,579,2,0,Faulty
1,1,0,1,3,0,0,1,0,2,35,0,0,0,0,0,0,33,2320,1,0,NotFaulty
