WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
1,1,0,2,1,0,0,2,1,2,1,0,0,0,1,0,0,0,2167,1,0,NotFaulty
5,1,0,9,15,4,0,9,4,0.8125,69,1,0,0,0.5,0,0,12,435,2,0.0018,Faulty
1,4,0,0,2,0,0,0,1,2,4,0,0,1,1,0,0,3,2176,1,0,NotFaulty
3,1,0,0,5,3,0,0,2,2,17,0,0,0,0.5556,0,0,4.6667,726,1,0,Faulty
3,1,0,0,5,3,0,0,2,2,29,0,0,0,0.5556,0,0,8.6667,728,5,0,Faulty
2,2,0,0,13,0,0,0,1,0,96,0,0,0.9846,0.6667,0,0,46.5,1095,3,0,Faulty
19,1,0,6,60,167,0,6,18,0.9921,447,0.1429,0,0,0.1222,0,0,22.1579,117,4,0.0004,Faulty
4,1,0,2,6,0,0,2,3,0.4,51,0,0,0,0.5,0,0,10.5,558,1,0,Faulty
4,1,0,3,6,0,0,3,3,0,29,0,0,0,0.625,0,0,6,559,1,0,Faulty
3,1,0,1,3,3,0,1,3,2,3,0,0,0,1,0,0,0,746,1,0,NotFaulty
27,1,0,6,39,351,0,6,27,1.0385,291,0,0,0,0.25,0,0,9.7407,84,3,0.184,Faulty
2,1,0,1,10,0,0,1,2,0,138,1,0,0,0.75,0,0,65.5,7,13,0,NotFaulty
6,1,0,2,13,3,0,2,6,0,61,1,0,0,0.4583,0,0,8.8333,3,2,0,NotFaulty
16,2,0,2,23,108,0,2,16,0.3556,177,1,0,0.2857,0.3594,1,2,9.875,2,2,0,NotFaulty
16,2,0,2,23,108,0,2,16,0.3556,177,1,0,0.2857,0.4792,1,2,9.875,4,2,0,NotFaulty
6,1,0,2,10,3,0,2,6,0,56,1,0,0,0.4583,0,0,8,12,2,0,NotFaulty
7,1,0,5,15,1,0,5,6,0,90,1,0,0,0.3036,0,0,11.4286,11,2,0,NotFaulty
1,1,0,0,2,0,0,0,0,2,4,0,0,0,1,0,0,3,84,1,0,NotFaulty
2,1,0,2,5,0,0,2,1,0,27,0,0,0,0.6667,0,0,12,45,5,0,NotFaulty
2,1,0,2,6,0,0,2,1,0,32,0,0,0,0.625,0,0,14,46,2,0,NotFaulty
2,1,0,4,13,0,0,4,1,0,224,0,0,0,0.625,0,0,110,55,16,0,NotFaulty
2,1,0,4,8,0,0,4,1,0,76,0,0,0,0.625,0,0,36,58,5,0,NotFaulty
2,1,0,2,7,0,0,2,1,0,70,0,0,0,0.625,0,0,33,61,5,0,NotFaulty
2,1,0,4,13,0,0,4,1,0,224,0,0,0,0.625,0,0,110,69,16,0,NotFaulty
