WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
2,1,0,4,4,0,0,4,1,0,22,0,0,0,0.6667,0,0,9,578,1,0,NotFaulty
8,1,0,3,11,12,0,3,4,0.4286,127,0.8,0,0,0.375,0,0,14.25,146,4,0,NotFaulty
13,1,0,13,30,42,0,13,10,0.7917,253,0.75,0,0,0.2396,0,0,18.1538,92,11,0.0026,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,1204,1,0,NotFaulty
4,2,0,1,7,4,0,1,2,0.8889,45,0.3333,3,0.8667,0.4444,1,1,9.5,302,1,0,NotFaulty
7,1,0,11,19,13,0,11,2,0.9074,102,0.7778,2,0,0.3056,0,0,12.2857,174,4,0.0012,NotFaulty
12,1,0,9,17,42,0,9,10,0.7273,55,1,0,0,0.2857,0,0,3.4167,102,1,0.0004,NotFaulty
9,2,0,8,15,30,0,8,4,0.925,71,0.6,3,0.6842,0.2321,1,1,6.3333,137,1,0.0007,NotFaulty
7,1,0,1,9,0,0,1,3,0.5833,39,0.5,1,0,0.5833,0,0,4.2857,178,1,0.0051,NotFaulty
3,1,0,4,6,1,0,4,2,0.5,25,0,0,0,0.4667,0,0,6.6667,416,1,0,NotFaulty
3,1,0,5,7,1,0,5,2,0.5,26,0,0,0,0.4667,0,0,7,417,1,0,NotFaulty
12,1,0,13,36,18,0,13,10,0.2727,171,1,0,0,0.2604,0,0,13.0833,106,7,0.0033,NotFaulty
8,1,0,5,11,26,0,5,2,0.9643,48,0.5,2,0,0.3143,0,0,4.5,160,1,0.0012,NotFaulty
12,1,0,9,35,6,0,9,10,0.3636,200,1,0,0,0.2604,0,0,15.5,108,3,0.0014,NotFaulty
8,1,0,7,12,28,0,7,2,1.0714,39,0.5,1,0,0.3571,0,0,3.625,164,1,0.0004,NotFaulty
5,1,0,4,12,10,0,4,3,1,31,0,0,0,0.6667,0,0,5,263,1,0,NotFaulty
4,1,0,6,24,6,0,6,4,2,120,0,0,0,0.45,0,0,29,332,5,0,NotFaulty
3,2,0,2,3,3,0,2,0,1,15,0,0,0.8571,0.6667,1,1,3.6667,444,1,0,NotFaulty
22,1,0,10,61,209,0,10,19,0.4127,231,0.6667,0,0,0.2721,0,0,9.3636,61,4,0.0011,NotFaulty
1,1,0,1,3,0,0,1,0,2,21,0,0,0,0,0,0,19,1361,1,0,NotFaulty
