WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,AVG_CC,MAX_CC,PORTRAIT,FAULTY
3,1,0,2,19,3,0,2,2,2,137,0,0,0,0.6667,0,0,44.6667,416,13,0,NotFaulty
2,1,0,1,7,1,0,1,2,2,29,0,0,0,0.5,0,0,13.5,627,5,0,NotFaulty
5,4,0,7,32,0,0,7,5,0.375,241,1,0,0.9551,0.4667,1,1,46.8,253,10,0,NotFaulty
9,1,0,1,17,16,0,1,7,0.8594,138,0.5,4,0,0.4583,1,1,13.4444,142,7,0.001,NotFaulty
4,1,0,1,8,0,0,1,4,0.3333,28,1,0,0,0.625,0,0,5.75,322,1,0,NotFaulty
4,1,0,0,14,6,0,0,4,1.3333,84,1,0,0,0.3333,0,0,19.75,324,4,0,NotFaulty
3,1,0,0,4,0,0,0,3,0,18,1,0,0,0.6667,0,0,4.6667,433,1,0,NotFaulty
3,1,0,3,4,1,0,3,3,0.5,14,1,0,0,0.5,0,0,3.3333,434,1,0,NotFaulty
8,1,0,0,10,2,0,0,8,0.6857,93,1,0,0,0.5625,0,0,10,164,3,0.0031,NotFaulty
6,1,0,1,24,15,0,1,6,2,114,0,0,0,0.5,0,0,18,220,2,0.003,NotFaulty
14,1,0,2,24,91,0,2,14,2,138,0,0,0,0.3393,0,0,8.8571,95,4,0.004,NotFaulty
2,1,0,1,6,1,0,1,2,2,20,0,0,0,0.5,0,0,9,672,2,0,NotFaulty
9,1,0,1,17,16,0,1,7,0.8125,124,0.6667,2,0,0.4583,1,1,12.1111,151,7,0.0029,NotFaulty
4,1,0,0,11,0,0,0,4,0,60,1,0,0,0.4,0,0,13.75,342,3,0,NotFaulty
3,3,0,1,4,1,0,1,3,0.5,14,1,0,0.9487,0.6667,0,0,3.3333,457,1,0.0288,NotFaulty
12,1,0,5,20,54,0,5,9,0.9091,72,0.2,0,0,0.1979,0,0,4.5833,115,1,0.034,NotFaulty
